date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:46:43	51301/51301	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jul%202016%2020:06:47%20GMT	http://demo.themecanyon.org/html/construct/index.html	C:/My%20Web%20Sites/Construction/demo.themecanyon.org/html/construct/index.html	(from )
14:46:43	31/31	---M--	200	added ('OK')	text/plain	date:Fri,%2027%20Sep%202019%2004:00:13%20GMT	http://demo.themecanyon.org/robots.txt		(from )
14:46:45	155935/155935	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202016%2020:07:03%20GMT	http://demo.themecanyon.org/html/construct/css/bootstrap.css	C:/My%20Web%20Sites/Construction/demo.themecanyon.org/html/construct/css/bootstrap.css	(from http://demo.themecanyon.org/html/construct/index.html)
14:46:47	7546/7546	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202016%2020:07:03%20GMT	http://demo.themecanyon.org/html/construct/css/et-fonts.css	C:/My%20Web%20Sites/Construction/demo.themecanyon.org/html/construct/css/et-fonts.css	(from http://demo.themecanyon.org/html/construct/index.html)
14:46:48	33406/33406	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202016%2020:07:06%20GMT	http://demo.themecanyon.org/html/construct/css/font-awesome.min.css	C:/My%20Web%20Sites/Construction/demo.themecanyon.org/html/construct/css/font-awesome.min.css	(from http://demo.themecanyon.org/html/construct/index.html)
14:46:50	55185/55185	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202016%2020:07:12%20GMT	http://demo.themecanyon.org/html/construct/css/settings.css	C:/My%20Web%20Sites/Construction/demo.themecanyon.org/html/construct/css/settings.css	(from http://demo.themecanyon.org/html/construct/index.html)
14:46:50	461/461	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202016%2020:07:14%20GMT	http://demo.themecanyon.org/html/construct/css/static-captions.css	C:/My%20Web%20Sites/Construction/demo.themecanyon.org/html/construct/css/static-captions.css	(from http://demo.themecanyon.org/html/construct/index.html)
14:46:50	1978/1978	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202016%2020:07:00%20GMT	http://demo.themecanyon.org/html/construct/css/dynamic-captions.css	C:/My%20Web%20Sites/Construction/demo.themecanyon.org/html/construct/css/dynamic-captions.css	(from http://demo.themecanyon.org/html/construct/index.html)
14:46:51	7032/7032	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202016%2020:07:09%20GMT	http://demo.themecanyon.org/html/construct/css/preset1.css	C:/My%20Web%20Sites/Construction/demo.themecanyon.org/html/construct/css/preset1.css	(from http://demo.themecanyon.org/html/construct/index.html)
14:46:51	1595/1595	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202016%2020:07:07%20GMT	http://demo.themecanyon.org/html/construct/css/owl.carousel.css	C:/My%20Web%20Sites/Construction/demo.themecanyon.org/html/construct/css/owl.carousel.css	(from http://demo.themecanyon.org/html/construct/index.html)
14:46:52	1844/1844	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202016%2020:07:08%20GMT	http://demo.themecanyon.org/html/construct/css/owl.theme.css	C:/My%20Web%20Sites/Construction/demo.themecanyon.org/html/construct/css/owl.theme.css	(from http://demo.themecanyon.org/html/construct/index.html)
14:46:52	2107/2107	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202016%2020:07:05%20GMT	http://demo.themecanyon.org/html/construct/css/featherlight.min.css	C:/My%20Web%20Sites/Construction/demo.themecanyon.org/html/construct/css/featherlight.min.css	(from http://demo.themecanyon.org/html/construct/index.html)
14:46:52	8801/8801	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202016%2020:07:12%20GMT	http://demo.themecanyon.org/html/construct/css/spsimpleportfolio.css	C:/My%20Web%20Sites/Construction/demo.themecanyon.org/html/construct/css/spsimpleportfolio.css	(from http://demo.themecanyon.org/html/construct/index.html)
14:46:54	56678/56678	---M--	200	added ('OK')	text/css	date:Fri,%2002%20Sep%202016%2016:56:23%20GMT	http://demo.themecanyon.org/html/construct/css/style.css	C:/My%20Web%20Sites/Construction/demo.themecanyon.org/html/construct/css/style.css	(from http://demo.themecanyon.org/html/construct/index.html)
14:46:54	2817/2817	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Jul%202016%2020:09:25%20GMT	http://demo.themecanyon.org/html/construct/images/logo-2.png	C:/My%20Web%20Sites/Construction/demo.themecanyon.org/html/construct/images/logo-2.png	(from http://demo.themecanyon.org/html/construct/index.html)
14:46:55	53535/53535	---M-Z	200	added ('OK')	text/html	date:Sun,%2017%20Jul%202016%2019:00:18%20GMT	http://demo.themecanyon.org/html/construct/home-2.html	C:/My%20Web%20Sites/Construction/demo.themecanyon.org/html/construct/home-2.html	(from http://demo.themecanyon.org/html/construct/index.html)
14:46:55	24285/24285	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jul%202016%2020:06:32%20GMT	http://demo.themecanyon.org/html/construct/about.html	C:/My%20Web%20Sites/Construction/demo.themecanyon.org/html/construct/about.html	(from http://demo.themecanyon.org/html/construct/index.html)
14:46:55	18520/18520	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jul%202016%2020:06:54%20GMT	http://demo.themecanyon.org/html/construct/services.html	C:/My%20Web%20Sites/Construction/demo.themecanyon.org/html/construct/services.html	(from http://demo.themecanyon.org/html/construct/index.html)
14:46:56	19099/19099	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jul%202016%2020:06:40%20GMT	http://demo.themecanyon.org/html/construct/construction.html	C:/My%20Web%20Sites/Construction/demo.themecanyon.org/html/construct/construction.html	(from http://demo.themecanyon.org/html/construct/index.html)
14:46:56	18514/18514	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jul%202016%2020:06:32%20GMT	http://demo.themecanyon.org/html/construct/architecture.html	C:/My%20Web%20Sites/Construction/demo.themecanyon.org/html/construct/architecture.html	(from http://demo.themecanyon.org/html/construct/index.html)
